Dates,1y,2y,3y,4y,5y,6y,7y,8y,9y,10y,12y,15y,20y,25y,30y,2yr,3yr,5yr,7yr,10yr,30yr,2y spread,3y spread,5y spread,7y spread,10y spread,30y spread,TUAISP,FVAISP,TYAISP,UXYAISP,USAISP,WNAISP
7/25/2018,2.6495,2.8477,2.9135,2.9371,2.9468,2.9543,2.9617,2.97,2.9795,2.9926,3.0103,3.0224,3.025,3.0127,2.9954,2.6411,2.7268,2.811,2.8951,2.9356,3.0622,20.19,18.297,13.5,6.37,5.25,-7,18.184,12.779,5.135,3.481,4.517,-5.972
7/24/2018,2.6483,2.8507,2.9186,2.9438,2.9569,2.9643,2.9723,2.9815,2.9928,3.0043,3.0232,3.0347,3.0378,3.0255,3.0074,2.6331,2.7322,2.8195,2.9051,2.9486,3.0758,21.077,18.045,13.61,6.71,5.56,-6.875,18.305,12.803,5.408,3.741,4.759,-5.785
7/23/2018,2.6493,2.8488,2.9127,2.9389,2.9532,2.9625,2.9722,2.9829,2.9949,3.0075,3.0261,3.0394,3.0427,3.0308,3.0146,2.6287,2.7239,2.8176,2.9076,2.9541,3.091,21.64,18.541,13.38,6.34,5.13,-7.75,18.592,12.914,5.025,3.125,4.405,-6.535
7/20/2018,2.644,2.8291,2.884,2.9034,2.9123,2.9182,2.9251,2.935,2.9463,2.9563,2.975,2.9893,2.9928,2.9803,2.9628,2.5931,2.6771,2.7645,2.8473,2.8931,3.0258,23.601,20.731,14.63,7.64,6.25,-6.363,19.963,14.426,6.972,4.528,6.041,-5.129
7/19/2018,2.6438,2.8164,2.8647,2.8778,2.882,2.8822,2.8846,2.8902,2.897,2.9059,2.9246,2.9361,2.9401,2.9277,2.9108,2.5907,2.6605,2.7336,2.8022,2.838,2.9585,22.283,20.064,14.69,8.25,6.88,-4.65,19.28,14.614,7.264,4.954,7.214,-3.631
7/18/2018,2.6538,2.8356,2.8884,2.9045,2.9094,2.9112,2.9155,2.9212,2.9296,2.9394,2.9571,2.9696,2.9717,2.9588,2.9411,2.6093,2.6879,2.7676,2.8346,2.8692,2.9857,22.625,19.825,14.09,7.81,6.69,-4.375,19.06,13.693,7.04,5.203,7.137,-2.989
7/17/2018,2.6507,2.8364,2.8881,2.9001,2.901,2.9009,2.9035,2.9086,2.9173,2.9258,2.9429,2.9546,2.9553,2.9419,2.9251,2.6154,2.6851,2.7625,2.8296,2.86,2.9694,22.125,19.782,13.75,7.22,6.5,-4.5,18.659,13.49,6.547,4.716,7.233,-3.167
7/16/2018,2.6408,2.8257,2.8773,2.8908,2.8905,2.8922,2.8963,2.9026,2.9121,2.9214,2.937,2.949,2.9496,2.9359,2.9167,2.5966,2.6769,2.7522,2.8246,2.8582,2.9616,22.574,19.612,13.75,7.15,6.25,-4.513,19.419,13.556,6.265,4.725,6.695,-3.115
7/13/2018,2.6325,2.8067,2.8532,2.8647,2.866,2.8665,2.8703,2.8766,2.8851,2.8951,2.9132,2.9249,2.9259,2.914,2.8975,2.578,2.6523,2.7249,2.7946,2.8271,2.9315,22.813,19.95,14.01,7.38,6.65,-3.638,19.636,13.933,6.634,4.783,7.801,-2.161
7/12/2018,2.6392,2.8212,2.8726,2.8863,2.8888,2.8899,2.8932,2.8983,2.9081,2.9173,2.9351,2.9462,2.9466,2.9328,2.9166,2.5859,2.6741,2.7468,2.8145,2.8454,2.9462,23.215,19.75,14,7.76,6.94,-3.125,20.473,14.002,6.653,5.267,8.046,-1.639
7/11/2018,2.6322,2.8151,2.8734,2.8902,2.894,2.896,2.9,2.9054,2.9144,2.9237,2.9409,2.952,2.9527,2.9382,2.9203,2.5776,2.6741,2.7502,2.8195,2.8491,2.9524,23.525,19.601,14.25,7.83,7.31,-3.125,20.642,14.04,6.946,5.632,8.416,-1.758
7/10/2018,2.6312,2.8158,2.8754,2.8893,2.8897,2.8938,2.8986,2.9067,2.9173,2.9266,2.946,2.9569,2.9552,2.9442,2.924,2.5693,2.6609,2.7467,2.817,2.8491,2.9555,24.75,21.231,14.16,8.13,7.5,-2.888,21.891,14.052,7.225,5.843,8.376,-1.59
